rank,global_cell_id,scan_name,image_name,xmin,ymin,xmax,ymax,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,min_dist_to_known,x_row_position
1,tile_x77312_y6144_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x77312_y6144_gray_matter,69.004105,229.81204,111.18883,279.06015,1,0,1,0,0,0,0.0,994,122.32590091228484,0.8347557177845493,1063,127.9827550649643,1080.0,121.49742114543916,0.9842592592592592,0.9493265017131942,0.8155305203778648,0.9193894158064954,132,118.08326029777528,19,19,19,1,1,7.730297850546477,13007
2,tile_x13824_y52736_gray_matter_cell_1,2017-160_Iba1_Temporal_pole_Batch_6,tile_x13824_y52736_gray_matter,379.8092,429.49878,439.29004,494.96533,71,2,1,3,1,4,3.0,610,95.49747383594512,0.8405352512720037,507,236.83556735515597,1448.0,160.67125463485718,0.3501381215469613,0.6784084689185066,0.1135857826949431,0.7048586859858785,214,144.5096664428711,19,45,49,9,71,6.931629638521705,82291
3,tile_x37376_y19456_gray_matter_cell_5,2016-020_Iba1_Temporal_pole_Batch_8,tile_x37376_y19456_gray_matter,191.36981,42.13775,257.24103,247.48352,218,5,1,5,0,5,0.0,546,94.87005722522736,0.7623320550081111,1094,437.5634891986847,2707.5,379.7572033405304,0.4040627885503232,0.8678905180959782,0.0718034038317847,0.2359208305460912,1094,437.5634891986847,23,23,101,18,218,6.473134883474428,20265
4,tile_x75776_y12800_gray_matter_cell_0,2017-026_Iba1_Temporal_pole_Batch_8,tile_x75776_y12800_gray_matter,210.73473,380.7922,249.13164,470.78268,47,0,1,1,1,2,1.0,464,79.84061968326569,0.9147028798837824,576,144.1248904466629,1096.5,166.39941430091858,0.5253077975376197,1.1545501528932571,0.3484611512193621,0.497639578326753,140,125.63960921764374,15,49,61,2,47,6.420398003610614,50322
5,tile_x40960_y47104_gray_matter_cell_3,2016-020_Iba1_Temporal_pole_Batch_8,tile_x40960_y47104_gray_matter,59.009933,86.62103,190.86452,176.98257,156,2,4,6,4,10,1.5,340,68.28427076339722,0.9163205565610256,875,275.5634891986847,4033.5,268.6689097881317,0.2169331845791496,0.9749800692733211,0.1448020021123357,0.7021939757201102,541,308.3919162750244,12,44,71,11,156,6.373099896080588,20878
6,tile_x46592_y13824_gray_matter_cell_0,2017-026_Iba1_Temporal_pole_Batch_8,tile_x46592_y13824_gray_matter,100.87193,347.5949,167.37428,418.76416,97,4,2,3,2,5,1.5,217,52.28427076339722,0.9975334961122924,531,211.722869515419,1675.5,177.11259877681732,0.3169203222918532,0.8365303152285061,0.1488568560749046,0.6712053124227934,352,185.5807341337204,10,20,58,11,97,6.058376000622329,46714
7,tile_x13824_y17408_gray_matter_cell_1,2016-020_Iba1_Temporal_pole_Batch_8,tile_x13824_y17408_gray_matter,374.59314,357.46027,471.51746,464.88007,96,4,1,5,1,6,5.0,279,60.28427076339722,0.9647305772050234,521,165.88224983215332,2010.5,194.9897636175156,0.259139517532952,1.1754709368531864,0.2379292049221613,0.6644928555350931,257,197.68123936653137,11,39,68,6,96,5.784789493554098,15656
8,tile_x7168_y23552_gray_matter_cell_4,2017-160_Iba1_Temporal_pole_Batch_6,tile_x7168_y23552_gray_matter,136.67606,155.72186,170.63217,185.12933,0,0,0,0,0,0,0.0,734,104.87005722522736,0.8386927985566123,487,81.5979790687561,466.0,78.00173425674438,1.0450643776824031,0.955927280883005,0.9191365147041476,0.9624701368878572,17,21.899494767189022,0,0,0,0,0,5.7494407555734615,92538
9,tile_x80384_y58368_gray_matter_cell_0,2016-032_Iba1_Temporal_pole_Batch_8,tile_x80384_y58368_gray_matter,287.3844,223.04869,397.55347,317.35754,195,6,4,9,2,11,4.5,300,64.5269113779068,0.9054184981491769,1440,464.3746713399887,4095.0,280.5348254442215,0.3516483516483517,0.6041131068469276,0.0839141710339723,0.6538681842208733,1161,476.8599525690079,10,24,69,13,195,5.621263706873103,31038
10,tile_x17408_y39424_gray_matter_cell_2,2018-001_Iba1_Temporal_pole_Batch_6,tile_x17408_y39424_gray_matter,79.19632,1.0820007,132.48532,39.293274,15,0,2,3,1,4,3.0,465,95.5979790687561,0.6393893439388909,553,145.0538227558136,813.5,114.72444069385529,0.6797787338660111,0.7909094604627182,0.3302757123307446,0.7767039666375362,166,119.5979790687561,13,15,22,3,15,5.590959923230168,96156
11,tile_x10752_y53248_gray_matter_cell_2,2016-032_Iba1_Temporal_pole_Batch_8,tile_x10752_y53248_gray_matter,158.87811,95.53519,315.43927,258.053,196,1,4,6,3,9,2.0,311,65.11269783973694,0.9218046042660588,706,311.4213538169861,10235.5,397.2442589998245,0.0689756240535391,1.27558452280467,0.0914782374723323,0.8150864391480498,431,291.2792184352875,12,73,93,7,196,5.460415955013975,28626
12,tile_x68608_y32768_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x68608_y32768_gray_matter,154.50195,147.04684,188.50055,186.30429,2,0,2,0,0,0,0.0,518,87.94112491607666,0.8416966339926838,624,118.32590091228484,680.0,101.56111919879912,0.9176470588235294,0.8583168893350454,0.5600603327812369,0.8284452657573919,193,109.74011445045473,11,11,12,1,2,5.432541871103504,10906
13,tile_x68096_y45568_gray_matter_cell_0,2017-026_Iba1_Temporal_pole_Batch_8,tile_x68096_y45568_gray_matter,212.37755,71.51218,326.43323,225.5694,264,10,3,11,2,13,5.5,468,87.49747383594513,0.7681829929749162,1386,541.8305150270462,6391.0,315.3919714689255,0.216867469879518,0.5820860263899723,0.0593261511598702,0.8073789343413639,985,563.1442233324051,15,34,74,16,264,5.376960963805433,49491
14,tile_x16896_y15360_gray_matter_cell_1,2018-001_Iba1_Temporal_pole_Batch_6,tile_x16896_y15360_gray_matter,20.798923,18.495205,113.41403,132.63925,144,4,3,8,2,10,4.0,545,100.6690467596054,0.6757941900813323,1456,405.0609630346298,4115.5,261.24710714817047,0.3537844733325234,0.6449575026706182,0.1115142729388444,0.757756184951151,916,474.6589421033859,10,23,73,9,144,5.35617235407981,95856
15,tile_x32768_y49152_gray_matter_cell_1,2017-129_Iba1_Tp_B8_100,tile_x32768_y49152_gray_matter,151.04898,255.18964,306.65417,491.67175,407,12,2,12,2,14,6.0,426,81.5979790687561,0.8040085323695418,2084,700.7422024011612,16543.0,519.4605674743652,0.1259747325152632,0.7413005320564156,0.053332388131158,0.7704047690131177,1658,769.5117543935776,16,92,100,19,407,5.329673774453167,73840
16,tile_x69632_y36352_gray_matter_cell_1,2017-129_Iba1_Tp_B8_100,tile_x69632_y36352_gray_matter,222.5572,287.70572,339.07794,442.5811,200,7,4,11,4,15,2.75,497,86.18376553058624,0.8408437920597234,1046,297.66399443149567,5843.5,310.9634054899216,0.1790023102592624,1.0446792736347783,0.1483504738382077,0.7593890749591653,557,348.29141104221344,10,81,106,11,200,5.289969406110676,78985
17,tile_x67072_y20480_gray_matter_cell_2,2017-063_Iba1_Temporal_pole_Batch_6,tile_x67072_y20480_gray_matter,388.17114,7.384445,506.0868,64.704895,59,1,3,3,2,5,1.5,642,129.63960921764374,0.4800312000218184,1427,255.8650048971176,1943.5,221.70622861385343,0.7342423462824801,0.8664968806617408,0.2739126286178184,0.4968652458480672,816,292.9777027368545,25,30,58,6,59,5.187953054531319,60066
18,tile_x39424_y20480_gray_matter_cell_0,2017-063_Iba1_Temporal_pole_Batch_6,tile_x39424_y20480_gray_matter,211.50894,375.76746,268.93314,440.985,23,0,3,2,4,6,0.5,918,125.29646337032318,0.734809766157224,911,233.48022890090945,1453.0,155.30049073696136,0.6269786648313833,0.665154781918909,0.2100042191625455,0.7570591663489025,197,168.85281229019165,14,25,35,3,23,4.966027302625589,56098
19,tile_x78848_y38912_gray_matter_cell_0,2016-020_Iba1_Temporal_pole_Batch_8,tile_x78848_y38912_gray_matter,416.22406,62.36194,461.9676,174.47021,76,2,2,4,2,6,2.0,402,74.76955199241638,0.9036210935299488,695,189.78174459934235,1177.5,206.70377242565155,0.5902335456475584,1.0891657301498314,0.2424855141228529,0.3463171304764831,321,214.99494767189023,14,28,69,4,76,4.943260801069198,27406
20,tile_x47104_y30720_gray_matter_cell_1,2017-026_Iba1_Temporal_pole_Batch_8,tile_x47104_y30720_gray_matter,78.28584,310.82452,148.41191,352.84686,34,0,3,3,3,6,1.0,388,71.35533845424652,0.9576099473694348,728,118.81118214130402,923.0,127.21880221366882,0.7887323943661971,1.0707645519625038,0.6480770007515384,0.7166530614135667,344,181.3380935192108,10,13,35,3,34,4.929983742706695,46803
